CODE	UZ	RU	EN
regis0010.00001	Talaba	Учащийся 	Student
regis0010.00002	Ta'lim muassasalarida o'qimaydigan bolalar va o'smirlar	Дети и подростки, не обучающиеся в учебных заведениях	Children and teenagers not studying in educational institutions
regis0010.00003	Ishlash	Работающий	Employed
regis0010.00004	Ishlamayapti	Неработающий	Unemployed
regis0010.00005	Boshqa davlatda ishlash (migrant)	Работающий в другой стране (мигрант)	Working in another country (migrant)
regis0010.00006	Pensioner	Пенсионер	Retired
regis0010.00007	Nogiron odam	Инвалид	Disabled
regis0010.00008	Uysiz	БОМЖ	Homeless
