CODE	UZ	RU	EN	
NI	JShShIR	ПИНФЛ	Personal Identification Number of an Individual	ГЦП
PPN	Seriya va pasport raqami	Серия и номер паспорта 	Passport series and number	ГЦП
BCT	Tug'ilganlik haqidagi guvohnomaning seriyasi va raqami	Серия и номер свидетельства о рождении	Birth certificate series and number	Adliya
DL	Haydovchilik guvohnomasi seriyasi va raqami	Серия и номер водительского удостоверения	Driver's license series and number	МВД
DP	Diplomatik pasport seriyasi va raqami	Серия и номер дипломатического паспорта	Diplomatic passport series and number	МИД
HC	Tibbiy karta raqami	Номер медицинской карты	Medical card number	МИНЗДРАВ
MI	Harbiy guvohnomaning seriyasi va raqami	Серия и номер военного билета	Military ID series and number	МИНОБОРОНЫ
PCN	Qamoqqa olingan shaxsga berilgan raqam	Номер, присваиваемый человеку, находящемуся в заключении	Number assigned to a person in prison	МВД
